Sample	WF_10	WF_11	WF_12	WF_13	WF_14	WF_15	WF_16	WF_17	WF_18	WF_19	WF_2	WF_20	WF_201	WF_202	WF_203	WF_204	WF_22	WF_23	WF_24	WF_25	WF_26	WF_27	WF_28	WF_29	WF_3	WF_30	WF_31	WF_32	WF_33	WF_34	WF_35	WF_36	WF_37	WF_38	WF_39	WF_4	WF_40	WF_41	WF_42	WF_43	WF_44	WF_46	WF_48	WF_49	WF_5	WF_50	WF_51	WF_52	WF_53	WF_54	WF_55	WF_56	WF_57	WF_58	WF_59	WF_6	WF_60	WF_62	WF_63	WF_64	WF_65	WF_66	WF_67	WF_68	WF_69	WF_70	WF_71	WF_72	WF_73	WF_74	WF_75	WF_76	WF_77	WF_78	WF_79	WF_8	WF_80	WF_81	WF_82	WF_83	WF_84	WF_85	WF_86	WF_87	WF_88	WF_9
Diet	high	high	high	high	high	high	low	low	low	low	low	low	low	high	low	low	high	high	high	low	low	low	high	high	high	high	high	high	high	low	low	low	low	high	low	high	high	low	high	high	high	high	high	low	high	high	low	low	low	low	high	low	high	low	high	high	high	low	high	high	high	low	low	high	high	low	low	low	high	high	low	low	high	high	low	low	low	high	high	low	low	high	high	low	low	low
4AMINOBUTMETAB-PWY	2.541916298	1.452666687	1.313863399	0	3.405813774	0.930411549	0	0.307282972	0	0.253025713	3.130368808	1.371237095	0.635263245	0	0	0	0.835844429	0	0	2.865299473	1.157888147	1.118325647	0	0.765796517	0	0	0	0	0	0	0	0.410373456	0.377530523	0	0.443573076	0	0.459579214	1.725327812	0.082262125	2.065599348	0	1.523871984	0.731990788	0	0	2.725170902	1.149429358	0.019539906	0.710980317	0	2.606595763	0.269158691	0	0.562224045	0.611315881	0	2.041899228	5.547838174	0	0.128714644	0.648983831	1.299417922	0.931460226	10.34202071	1.1453296	0	0.863421297	0.551242393	0	0	0.957810878	1.649402385	1.869281888	0	2.490271397	0.751132695	0.187283466	0	0	0.629467367	0.810840402	0.344725321	1.021429585	0	0.254729435	0
4TOLCARBDEG-PWY	183.4015715	83.42008796	171.2991041	59.71804495	169.202616	87.84633984	175.9416058	72.79778939	202.5442377	72.49844853	255.1582209	61.87779194	60.95060894	45.28079545	65.96650762	58.31295482	59.17900249	157.4503166	86.70025753	143.6513513	49.96784523	49.41880601	130.0467835	52.48672763	80.72508763	175.4914703	38.51184759	155.9910541	54.92614652	267.7821787	64.20708164	225.7400235	65.72158843	227.8426142	73.267	205.145763	194.3418391	172.2685701	78.36640486	127.5587403	54.87316438	111.2982185	135.5745422	56.81459056	75.67936134	151.5710075	131.9599953	83.90054055	124.7381414	57.41641346	103.1905902	65.79251492	98.5440802	37.57374698	48.17492544	216.4527134	80.7173395	49.35520062	43.10050978	43.10145799	44.97931757	57.92499651	46.58530728	84.89771652	64.1699802	53.41817516	71.75343385	61.58782392	46.05553796	42.44923898	83.10220454	45.49347118	48.82672761	36.67709593	47.66651503	61.54495616	35.93891796	43.80894404	38.3754346	31.48390799	21.0165317	15.96225778	23.11417907	42.52666727	40.15930889	37.89105696
7ALPHADEHYDROX-PWY	329.7218984	133.8304503	321.9727195	94.09447845	314.3375415	138.5143211	276.6668613	119.0281691	343.3426518	115.9523556	458.2673005	99.37397653	94.77624175	73.94766253	101.5465416	89.40376138	106.5273076	281.2124736	153.3400736	260.7838569	78.63171777	78.29476007	274.7604785	84.39716862	128.7173049	302.6306924	63.73495765	294.0439929	87.93317577	402.8636511	118.4293219	340.9011127	110.044962	359.0190114	121.2242525	323.1040238	311.7517615	303.6416061	124.6461175	225.2079762	91.13942911	227.1855775	230.1013423	94.24419483	119.6334271	270.4403846	238.5908696	136.8024208	231.3085002	92.43630582	211.0604014	109.5149949	181.494558	58.47028413	78.91084674	340.021677	126.405817	78.38035768	69.64190651	69.578102	74.02446795	97.87804392	73.90474718	138.3483519	102.8716775	83.64282215	109.9748914	94.27078995	83.86457946	72.48467188	149.2465844	72.46811604	79.9391803	71.25249456	76.45006919	99.15568923	67.63175839	81.71878744	70.12206322	53.27507784	39.04533645	44.74484994	58.79009385	75.75854275	71.17046607	68.31871929
ACETATEUTIL-PWY	495.2126183	203.6136814	524.4646824	157.9728	465.4805254	240.1908897	490.4222012	193.8160758	552.3867397	212.4521159	820.7664178	188.5146876	122.2518126	112.7276143	154.1777681	132.0735188	132.5705083	437.0661549	165.2206069	450.2136671	166.1518223	146.2781315	534.3760512	172.0065245	204.8084244	479.5800417	113.2475577	451.5774898	161.2167158	590.0105168	160.392956	495.9727411	165.0843241	515.05432	180.5831482	480.5148914	491.0006637	554.9343515	189.3020583	464.7956726	136.7392697	447.5082561	416.2008442	143.992456	212.9228016	516.5710328	459.6027973	216.0635759	458.169736	154.0893589	488.5729767	161.1881321	386.1015373	108.4730336	140.7026948	489.384863	166.2105471	113.3968133	118.6448711	99.30289607	120.728308	183.3482607	100.6099376	184.7431351	191.0599211	147.1989363	165.2860327	164.8222095	162.4222823	142.0646678	170.0094994	130.6989513	129.7864726	207.6690535	122.3300787	158.2069299	136.3983905	109.8128975	112.5897468	111.42488	81.78187322	120.7209499	136.503168	145.5123792	133.3268217	105.8505867
ACETOACETATE-DEG-PWY	170.1025192	36.60500448	251.332116	40.03475199	178.4942425	64.35018676	144.7693548	61.73335059	203.0497678	91.82477862	312.9185913	70.45489963	17.74758248	24.0850646	42.28043169	78.99510481	42.86740791	154.6317188	61.85847095	159.0249958	64.4756719	55.33425783	279.9040751	62.43518133	60.04449211	165.9889989	28.91032018	164.4847967	38.70269833	79.06596553	72.70986513	75.54284588	81.06073411	64.87226894	85.36085737	205.8929081	118.515991	168.5220706	54.05336915	118.1397314	37.67789889	215.2827017	101.0681825	119.6073373	61.5835275	126.4905241	120.7277933	52.40725556	129.9009333	73.99254107	189.3877806	46.88475706	116.1829982	39.65611564	80.228225	262.1504356	58.32325799	56.63067808	41.4469224	61.80624472	37.25875599	42.23609542	47.50417064	71.91623102	61.94292888	32.65783768	45.88936518	52.54234865	65.38096381	47.63055468	59.2018666	44.53490748	59.7027613	60.693373	63.9478384	68.32703718	38.42631002	13.29211243	17.72733456	41.89147857	34.46843592	73.63222966	82.78523959	31.89710523	25.11934304	46.86045104
ADENOSYLHOMOCYSCAT-PWY	2.712179348	0.852284014	1.595246775	0.377201284	1.956657692	0.964619142	2.617293279	0.858739571	1.384024786	0.534836106	4.507492189	1.202893367	0.162136889	0.352720452	0.145599102	0.137296884	0.427357632	1.228569735	0.92471329	6.665486727	0.554492919	0.789538507	4.642111252	2.211210225	0.612135395	1.919446473	3.105960058	2.468321256	3.228293879	0	0.858204106	0.311298271	1.095169519	1.154265248	0.299299852	3.042052937	0.585275367	6.314510745	0.481740219	0	0.437790369	6.638087525	3.888498131	0.297981403	1.123143034	5.412257868	2.373396935	0	1.153423818	0.666358172	0	0	1.43380074	0.478744032	0.721897518	2.405887894	0	4.980625449	0.298469528	0.484298363	0.557481239	2.802532759	1.800535585	6.59624095	0.981151124	0	0.460389074	0.482738887	0.639228825	0.529468267	0.903924382	1.136780528	0.304053617	0	0	0.898725625	0	0	0	0.356388376	0.192116477	0.382236697	0.4036967	0.168082426	0	0.518685553
AEROBACTINSYN-PWY	0	0	0	0	0	0	0	0	0	0	1.525589179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242439229	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077714269	0	0	0	0	0	0.577211394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.459255897	0	0	0	0	0	0	0	0.289855073	0	0	0
ALACAT2-PWY	331.9741226	150.0431118	281.0055064	107.98731	243.6640793	137.4151794	304.7197152	123.6582989	357.1678781	152.1979799	515.1702092	91.15843104	81.49196825	63.80556811	85.24699956	84.34757242	91.61977613	298.5624063	100.2466153	306.6999923	74.3246686	62.54392644	281.2549301	83.47448161	129.9421502	292.9206024	66.54123941	281.2580654	81.08312523	193.9757904	106.6626685	212.2468396	132.7527495	207.1107085	104.2377924	275.3892336	204.147745	332.5139482	133.9489631	310.6413488	98.58481534	376.112899	283.9677677	103.8588588	144.5217431	363.5691964	343.0690412	140.919942	317.9921402	110.1552102	385.580315	103.52391	283.3564304	53.04841983	84.46058652	305.3371823	82.18362614	77.45687716	83.37689052	71.64581771	89.67651443	97.76839349	57.98716194	145.3959448	123.5809864	93.32854937	100.4983242	101.2859387	82.4643562	75.19399327	101.0554617	76.31578571	78.43168035	89.66740743	86.26870035	90.44589127	70.58150063	54.47465285	66.21757015	71.19753374	52.9740249	87.88793884	98.31426652	79.48113201	66.21166255	94.05459694
ALADEG-PWY	101.5889725	38.05186555	103.2550323	34.22250129	95.51762714	38.99161321	124.418425	35.96828049	67.0525105	27.11634524	122.427062	30.15133351	9.750939455	18.37617552	17.23669282	11.30358867	16.03443631	65.65996364	20.51153319	60.07106831	35.22989004	36.60998123	22.97829953	32.00945642	28.24834775	52.5605862	27.65457395	42.96715205	21.84985777	22.8288315	12.30323373	30.58452516	21.08174883	94.41241904	27.00166418	53.07573929	50.46755683	66.75788813	26.94638321	49.38960999	18.01500284	45.527092	65.98519122	17.61751714	23.87538221	62.04564258	64.68733272	25.72843368	50.43899487	12.31917515	45.69470018	12.81206113	36.4026956	16.20132783	18.80482679	53.47805197	19.19291844	18.5355378	12.75488281	11.03044738	16.43260686	22.59249779	9.312183439	33.21709617	17.29119777	25.91729153	19.75270611	15.91664255	16.12757731	23.08044584	66.94601387	26.53980334	36.95025478	28.00428016	20.29948064	35.03651268	19.02061729	21.22189046	20.13790293	33.05597592	18.53464852	12.39215008	17.28265957	13.41155944	15.5947886	21.50462537
ALANINE-DEG3-PWY	105.9594936	40.97611129	86.62432789	37.12621547	92.41008741	22.96992646	75.82778566	28.85680896	79.19460059	30.10061851	119.4391321	21.59173987	8.861883782	21.93459886	14.74526289	6.114766877	30.52833413	14.87626595	32.49624136	58.03131076	18.75112079	22.17351119	62.06162329	22.26077894	35.57211509	111.5797654	13.85646605	72.34582059	20.83650396	16.27975259	24.79416859	22.79913824	20.56824032	24.83397895	20.21278993	70.48198842	13.06446302	86.4914207	27.7979988	33.75500175	15.96483984	52.81570389	92.73363445	16.42573196	23.21011802	81.3170441	34.08021727	33.64985921	53.22605422	12.04264968	34.64937093	19.21194606	39.80303957	15.79260497	7.701754706	41.5284676	13.30201096	16.47814224	14.88174895	14.51735095	13.50260821	17.48573798	8.204771055	44.36325709	32.16230865	22.04672278	25.2733542	20.87687429	20.454896	15.99816438	26.46789633	29.76248859	42.67481516	15.8689964	16.44917349	18.82910201	20.17733975	34.51849995	26.6581757	28.91002543	26.04099521	12.35048885	7.718008522	12.12345654	9.675009164	33.356276
