gene_id	WF_38	WF_30	WF_60	WF_4	WF_6	WF_28	WF_23	WF_15	WF_11	WF_36	WF_13	WF_40	WF_34
1410644.3.peg.1331	0	1	0	0	0	0	0	0	1	0	1	0	0
1410644.3.peg.1334	1	0	0	1	1	1	1	1	1	1	1	1	0
1410644.3.peg.1336	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1337	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1338	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1339	0	1	0	1	1	1	0	0	0	0	0	0	1
1410644.3.peg.1340	0	1	0	1	1	1	0	0	0	0	0	0	1
1410644.3.peg.1341	0	1	0	1	1	1	0	0	0	0	0	0	1
1410644.3.peg.1342	0	1	0	1	1	1	0	0	0	0	0	0	1
1410644.3.peg.1343	0	1	1	1	1	1	0	0	0	0	0	0	1
1410644.3.peg.1344	0	0	1	1	1	0	0	0	0	0	0	0	1
1410644.3.peg.1345	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1346	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1347	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1348	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1349	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.135	0	0	0	1	1	0	0	0	0	0	0	0	0
1410644.3.peg.1350	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1351	0	0	0	1	1	0	0	0	0	0	0	0	1
1410644.3.peg.1352	0	1	0	1	1	1	0	0	0	0	0	0	0
1410644.3.peg.1354	1	1	1	1	1	1	1	0	0	1	0	1	0
1410644.3.peg.1365	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1370	1	1	1	1	1	1	1	1	0	1	0	1	1
1410644.3.peg.1371	1	1	1	0	0	1	1	1	1	1	1	1	1
1410644.3.peg.1373	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1375	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1379	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1393	0	1	0	1	1	1	1	1	1	0	1	0	0
1410644.3.peg.1413	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1414	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1415	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1416	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1419	0	1	1	1	1	1	0	1	1	0	1	0	1
1410644.3.peg.1420	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1427	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1428	0	1	1	1	0	1	0	0	0	0	0	0	1
1410644.3.peg.1431	0	1	1	0	0	1	0	0	0	0	0	0	0
1410644.3.peg.1432	0	1	1	0	0	1	0	0	0	0	0	0	1
1410644.3.peg.1434	1	1	0	1	1	1	1	0	0	1	0	1	1
1410644.3.peg.1437	1	0	1	1	1	0	1	1	1	1	1	1	1
1410644.3.peg.1440	1	1	0	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1442	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1449	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1450	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1452	0	1	1	1	1	1	0	1	1	0	1	0	1
1410644.3.peg.1457	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1458	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1460	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1469	1	1	1	1	1	0	0	1	0	1	0	1	1
1410644.3.peg.1475	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.149	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1495	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1502	0	1	0	1	1	1	0	1	1	0	1	0	1
1410644.3.peg.1505	0	1	0	1	1	1	0	1	1	0	1	0	1
1410644.3.peg.1506	0	1	0	1	1	1	0	1	1	0	1	0	0
1410644.3.peg.1508	0	1	0	1	1	1	0	1	1	0	1	0	1
1410644.3.peg.1509	0	1	0	1	1	0	0	0	0	0	0	0	0
1410644.3.peg.151	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1515	0	1	0	0	0	1	0	1	1	0	1	0	1
1410644.3.peg.1516	0	1	0	0	0	1	0	1	1	0	1	0	1
1410644.3.peg.1518	0	1	0	0	0	1	0	1	1	0	1	0	1
1410644.3.peg.152	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1524	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1526	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1527	1	1	0	1	1	1	1	0	0	1	0	1	1
1410644.3.peg.1529	1	0	1	1	0	1	1	0	0	1	0	0	1
1410644.3.peg.1530	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1531	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1532	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1533	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1534	0	0	0	0	0	0	0	0	1	0	0	0	0
1410644.3.peg.1535	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1536	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1537	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1538	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1539	0	1	0	0	0	1	0	0	0	0	0	0	0
1410644.3.peg.1540	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1541	0	0	1	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1542	0	0	1	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1543	0	0	1	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1544	0	0	1	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1545	0	0	1	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1548	0	0	1	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.155	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1553	0	0	0	0	0	0	0	0	0	0	0	0	0
