variable	Ruminococcaceae	Eubacteriaceae	Bifidobacteriaceae	Lachnospiraceae	Bacteroidaceae	Coriobacteriaceae	Prevotellaceae	Streptococcaceae	Veillonellaceae	Rikenellaceae	Lactobacillaceae	Other
WF_68	42.89395	1.01096	19.27603	6.93265	7.35023	0	1.31195	0.87015	1.59201	0	0.31468	13.27993
WF_69	52.35646	1.33626	25.96073	6.35085	1.82466	0.04106	1.88431	2.6055	1.6065	0	0.36694	1.17441
WF_70	32.20916	33.17021	4.65927	20.9986	0.52213	0.1383	0	1.0806	0	0.56273	0	2.38342
WF_71	33.12762	33.79849	3.54669	22.62335	0.67217	0.11212	0	1.75225	0	0.16482	0	1.51402
WF_7	0	0	0	0	0	0	0	0	0	0	0	0
WF_72	31.20143	29.69338	7.33273	22.87815	0.46642	0.26674	0	1.06462	0	0	0	0.91222
WF_73	32.47592	18.37796	6.91077	17.92222	0.26335	1.60519	10.561	0.57776	0	0.11469	0	5.495
WF_74	32.25527	18.62217	17.35685	14.12084	1.73914	1.35115	4.73158	1.18831	0	0.40609	0	5.64542
WF_75	26.33036	10.69818	3.57017	26.61961	0.20426	2.61785	3.78428	0.2538	1.05791	0.59944	0	17.71062
WF_76	28.04839	15.23658	8.19459	25.04372	1.10134	3.85252	3.26426	1.3606	0.0187	1.87678	0	6.0761
WF_77	15.40801	13.15927	4.67563	35.64935	1.62267	7.86551	0.93519	9.02213	0	3.21946	1.01388	4.13033
WF_78	17.96799	7.44678	2.83214	16.53589	1.0697	4.06572	31.67778	4.19918	0.48415	0.22706	0	6.58477
WF_79	30.07619	13.19366	3.87058	10.34296	8.91152	3.60782	0.63023	0	0	2.75084	0	8.26313
WF_80	36.67811	12.39037	1.56702	20.30804	2.58525	0.95095	12.9911	3.16861	0	0.54438	0	1.84715
WF_81	7.68767	33.77526	14.68891	36.92371	0.07014	0	0	3.34609	1.66357	0	0	0
WF_8	18.22448	18.7033	20.49296	20.5827	1.7857	3.07383	0	0	0	0	0	0.77078
WF_82	5.75681	33.53295	17.16147	30.06745	4.7653	0	0	5.85336	1.36005	0	0	0.36551
WF_83	12.2715	18.20079	0	16.86102	25.11636	0.1749	0	3.52132	6.34911	0	0	2.26258
WF_84	9.27356	19.61952	0	19.01371	23.78243	0.99086	0	2.38292	4.91273	0	0	1.67752
WF_85	13.20078	7.61341	0	4.29397	54.57795	0	0	0.38655	5.95155	0	0.43879	0.18667
WF_86	11.57485	5.08895	0.64905	3.50217	55.48771	0.0633	0.32549	0.52492	7.17835	0	1.23175	0.52458
WF_87	30.93103	25.42552	15.13213	16.6534	3.3652	0	0	0.16984	4.04382	0.88843	0	0.09751
WF_88	28.92933	22.08019	8.15641	22.6866	9.07207	0	1.09436	0.34133	3.77522	1.63847	0	0.25179
WF_89	0	0	0	0	0	0	0	0	0	0	0	0
WF_90	0	0	0	0	0	0	0	0	0	0	0	0
WF_91	0	0	0	0	0	0	0	0	0	0	0	0
WF_9	20.83966	21.62803	4.55875	10.55752	18.5226	2.2392	0	1.47429	6.1034	1.57217	0	1.63443
WF_92	0	0	0	0	0	0	0	0	0	0	0	0
WF_93	0	0	0	0	0	0	0	0	0	0	0	0
WF_94	0	0	0	0	0	0	0	0	0	0	0	0
WF_95	0	0	0	0	0	0	0	0	0	0	0	0
WF_96	0	0	0	0	0	0	0	0	0	0	0	0
WF_97	0	0	0	0	0	0	0	0	0	0	0	0
