gene_id	WF_12	WF_77	WF_38	WF_73	WF_81	WF_30	WF_51	WF_62	WF_16	WF_3	WF_4	WF_82	WF_69	WF_6	WF_2	WF_87	WF_43	WF_88	WF_66	WF_55	WF_79	WF_57	WF_36	WF_18	WF_14	WF_40	WF_72	WF_34	WF_68	WF_53	WF_10
1121115.4.peg.1053	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1054	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	0
1121115.4.peg.1055	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0
1121115.4.peg.1056	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0
1121115.4.peg.1057	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0
1121115.4.peg.1058	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1121115.4.peg.1059	0	0	1	1	1	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	1	1	0	1	0
1121115.4.peg.1060	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0
1121115.4.peg.1061	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0
1121115.4.peg.1062	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
1121115.4.peg.1063	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
1121115.4.peg.1064	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
1121115.4.peg.1065	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
1121115.4.peg.1066	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	1	0	1	0
1121115.4.peg.1067	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	1	0	1	0
1121115.4.peg.1068	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	1	0	1	0
1121115.4.peg.1069	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	1	0	1	0
1121115.4.peg.1070	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	1	0	1	0
1121115.4.peg.1071	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
1121115.4.peg.1073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
