kingdom|phylum|class|order|family|genus|species	WF_33	WF_72	WF_34	WF_12	WF_68	WF_46	WF_204	WF_73	WF_25	WF_65	WF_97	WF_202	WF_54	WF_74	WF_80	WF_18	WF_57	WF_6	WF_76	WF_51	WF_81	WF_55	WF_85	WF_2	WF_28	WF_50	WF_36	WF_87	WF_38	WF_48	WF_94	WF_21	WF_82	WF_11	WF_201	WF_47	WF_42	WF_15	WF_8	WF_27	WF_88	WF_43	WF_3	WF_63	WF_29	WF_70	WF_19	WF_203	WF_40	WF_60	WF_64	WF_1	WF_62	WF_52	WF_93	WF_84	WF_53	WF_22	WF_26	WF_59	WF_86	WF_67	WF_66	WF_61	WF_39	WF_79	WF_44	WF_20	WF_32	WF_5	WF_78	WF_16	WF_30	WF_49	WF_10	WF_56	WF_24	WF_75	WF_69	WF_14	WF_17	WF_77	WF_31	WF_45	WF_58	WF_41	WF_37	WF_4	WF_83	WF_71	WF_35	WF_9	WF_23	WF_13
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Dorea|s_Dorea_longicatena_411462.6	41	119	1	0	0	65	31	2	2	37	0	2	71	2	8	7	2	0	2	1	23	2	0	4	68	103	1	40	4	93	0	0	36	0	0	0	63	0	22	32	28	3	115	37	29	87	147	65	1	26	28	0	0	94	0	0	11	28	30	33	0	0	0	0	34	3	51	27	74	65	3	5	145	0	4	79	48	2	0	0	120	0	9	0	0	154	34	1	0	79	33	0	0	0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Eubacteriaceae|g_Eubacterium|s_[Eubacterium]_eligens_515620.4	2	0	0	0	0	138	0	20	34	11	0	0	0	30	50	0	40	0	48	99	0	50	50	0	90	171	0	1	0	129	0	0	0	5	14	0	0	2	3	5	3	55	3	2	5	3	102	0	0	0	14	0	1	0	0	29	47	8	6	0	29	0	0	0	14	74	0	9	87	188	23	0	52	87	4	0	34	27	0	2	25	0	8	0	0	295	43	0	25	7	24	45	5	9
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Dorea|s_Dorea_sp._AGR2135_1280669.3	14	25	19	28	51	25	10	13	7	16	0	7	6	18	10	117	12	35	17	21	32	32	0	61	120	34	52	27	48	49	0	0	9	30	13	0	2	21	23	23	14	14	48	11	9	13	18	16	22	1	1	0	0	13	0	1	24	12	23	5	0	0	0	0	15	20	2	19	115	27	16	132	173	9	60	13	12	48	14	34	38	22	7	0	13	65	11	80	0	10	18	6	18	13
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_Alistipes_putredinis_445970.5	1	2	0	32	0	387	0	8	188	14	0	0	0	8	12	0	19	0	24	48	0	62	0	93	16	253	0	13	0	168	0	0	4	0	0	0	1	0	0	0	15	16	2	5	0	7	26	1	0	0	11	0	0	0	0	0	32	0	0	0	0	0	0	0	2	15	1	0	8	13	5	0	29	0	28	0	0	15	0	14	11	33	0	0	0	103	0	0	0	6	0	0	0	0
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_fragilis_1339286.3	0	0	0	3	0	306	2	0	75	1	0	2	0	4	6	6	5	10	0	36	0	106	39	25	6	171	1	4	0	147	0	0	0	3	0	0	1	11	1	2	2	29	0	0	0	3	6	3	7	0	0	0	0	0	0	6	22	0	0	17	44	0	0	0	0	7	1	1	20	7	0	3	30	3	3	0	0	2	0	2	5	2	4	0	7	258	1	7	24	2	2	29	70	5
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_stercoris_1073351.3	0	0	3	1	0	0	29	0	284	4	0	4	0	0	0	0	51	0	2	73	0	149	42	0	0	0	23	0	3	0	0	0	0	0	0	0	0	0	0	0	0	62	0	9	0	1	1	8	29	13	16	0	0	1	0	72	54	8	0	87	95	0	1	0	6	0	0	0	0	2	7	0	0	9	0	1	4	3	3	0	3	10	1	0	14	0	47	0	82	2	5	0	234	0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Roseburia|s_Roseburia_hominis_585394.18	5	0	0	220	0	2	0	6	11	3	0	0	1	6	30	44	20	2	3	14	10	14	8	399	5	16	0	3	0	34	0	0	18	10	19	0	0	6	3	0	9	5	3	0	9	0	1	0	4	0	0	0	0	1	0	7	4	9	4	0	3	0	0	0	0	21	0	6	5	21	1	5	16	5	117	4	7	4	0	217	2	0	1	0	0	66	0	5	7	5	45	4	18	1
d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Holdemanella|s_Holdemanella_biformis_518637.5	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	11	0	9	6	0	0	0	0	356	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	24	0	0	384	0	0	6	0	355	0	9	0	0	0	0	0	21	0	0	0	0	0	0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Clostridiaceae|g_Clostridium|s_Clostridium_sp._L2-50_411489.7	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	87	63	0	159	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	11	3	31	0	221	0	0	111	0	0	0	0	0	0	0	0	0	0	0	116	0	12	0	2	0	0	0	0	0	0	8	0	0	27	0	0	0	0	0	0	198	0	0	2	40	109	0	0	0	0	0	1	0	0	3	0	8
d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Acidaminococcaceae|g_Phascolarctobacterium|s_Phascolarctobacterium_sp._CAG_1262914.3	0	5	0	52	0	39	145	0	91	2	0	2	10	0	0	0	24	0	0	60	0	41	0	136	0	25	0	0	0	24	0	0	0	0	0	0	11	0	6	13	0	36	3	0	5	2	20	128	0	6	3	0	0	1	0	0	35	1	2	69	0	0	0	0	0	0	23	4	0	15	0	0	0	33	42	8	4	0	0	45	15	0	0	0	5	64	12	0	0	7	3	0	0	0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Roseburia|s_Roseburia_intestinalis_536231.5	1	6	0	0	0	2	0	3	0	7	0	0	66	2	5	156	76	0	0	196	21	37	4	0	0	12	0	30	0	1	0	0	49	3	0	0	21	4	5	0	40	14	0	8	1	1	28	19	0	2	11	0	0	30	0	10	166	0	6	8	0	0	0	0	0	6	1	14	0	2	0	38	0	15	3	60	0	0	0	1	26	0	0	0	0	0	2	0	17	14	3	10	0	4
d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Veillonellaceae|g_Dialister|s_Dialister_invisus_592028.3	8	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	81	0	0	0	0	72	0	0	0	0	8	146	0	0	0	129	0	1	63	0	9	0	0	0	18	0	0	0	0	0	93	0	0	49	0	1	3	0	116	37	48	0	0	1	0	0	0	10	5	0	0	0	0	0	0	2	25	0	13	0	0	0	0	2	0	0	71	0	0	88	0	82
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_caccae_411901.7	8	1	0	12	0	191	0	4	89	2	0	0	0	10	7	24	3	5	3	7	6	41	0	117	0	43	0	7	0	82	0	0	7	4	1	0	0	18	2	5	29	11	0	4	0	1	0	0	0	0	2	0	0	1	0	0	12	1	0	1	1	0	0	0	0	52	0	2	2	0	1	0	4	15	18	0	2	2	0	6	0	5	8	0	0	97	146	0	0	3	3	7	0	3
d_|p_|c_|o_|f_|g_|s__1120974.3	3	0	2	73	2	201	0	0	8	6	0	0	0	0	3	9	0	3	0	3	0	3	0	154	0	232	1	5	0	164	0	0	3	4	0	0	0	13	0	0	8	0	0	4	1	7	0	0	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	8	0	0	1	0	0	0	0	2	48	1	0	0	1	37	0	0	2	0	0	76	0	0	0	0	0	23	7	12
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus_thermophilus_1051074.3	0	0	55	2	0	0	0	2	8	11	0	0	16	17	23	0	0	21	0	0	0	0	7	3	4	0	0	0	0	0	0	0	0	1	0	0	35	4	0	0	4	1	0	2	5	6	1	0	0	1	2	0	0	60	0	2	0	1	3	0	6	7	3	0	9	3	11	0	3	0	0	542	1	6	24	26	0	0	0	11	15	88	0	0	7	0	9	10	3	7	8	0	0	0
d_Bacteria|p_Verrucomicrobia|c_Verrucomicrobiae|o_Verrucomicrobiales|f_Verrucomicrobiaceae|g_Akkermansia|s_Akkermansia_muciniphila_239935.4	4	0	0	1	155	8	0	21	340	2	0	0	0	6	0	10	13	2	0	29	0	9	0	11	0	6	0	0	0	13	0	0	0	69	0	0	0	19	0	0	0	5	17	1	0	1	8	0	0	0	1	0	118	0	0	0	2	0	0	0	0	35	16	0	0	59	0	1	0	21	0	3	0	0	0	0	0	1	2	2	7	7	0	0	2	0	0	0	0	5	0	8	0	18
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_rodentium_1236512.3	4	1	4	19	59	0	0	1	0	6	0	0	2	0	0	7	27	1	4	64	0	74	136	95	0	0	8	0	0	0	0	0	0	2	1	0	1	1	0	1	3	24	0	6	1	0	5	0	4	1	7	0	25	2	0	34	21	0	1	6	187	0	0	0	0	3	0	0	2	6	1	0	2	5	47	1	0	0	14	8	0	3	5	0	2	0	0	0	20	3	0	7	52	0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Coprococcus|s_Coprococcus_catus_717962.3	38	16	0	30	0	40	0	9	0	12	0	0	0	12	4	22	34	18	10	21	13	44	0	21	3	47	0	15	0	52	0	0	10	0	0	0	0	1	39	49	7	31	1	4	27	8	0	0	0	0	3	0	0	1	0	0	26	5	50	0	0	0	0	0	7	16	1	45	2	0	0	14	8	0	47	0	15	9	0	19	0	9	11	0	0	50	2	22	0	19	4	0	0	0
d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Veillonellaceae|g_Dialister|s_Dialister_succinatiphilus_742743.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	284	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_Alistipes_finegoldii_679935.3	1	0	0	11	0	0	0	0	36	2	0	0	0	0	0	0	76	0	0	154	0	257	0	54	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	1	136	0	0	0	1	5	0	0	0	0	0	0	0	0	0	106	0	1	0	0	0	0	0	0	1	0	0	1	8	0	0	1	0	12	0	1	0	1	4	2	0	0	0	0	0	0	0	0	2	0	3	0	1
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter_brisouii_1341683.3	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	29	21	0	0	0	0	89	0	2	0	0	0	0	0	0	2	0	0	0	72	32	0	0	0	0	0	59	0	0	29	0	0	0	0	0	0	0	0	64	0	0	0	4	0	84	0	0	0	44	0	0	0	96	0	0	0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcus|s_Ruminococcus_lactaris_1073376.3	0	10	0	0	67	5	0	0	47	3	0	0	6	0	0	33	0	2	0	0	20	0	0	1	10	5	0	34	0	4	0	0	13	0	0	0	28	0	0	0	5	0	0	2	0	5	0	0	0	1	0	0	91	18	0	0	2	0	0	0	0	112	78	0	0	0	31	0	14	0	1	25	24	0	0	29	0	0	57	1	0	0	0	0	1	47	0	1	0	4	0	1	0	2
