# Pathway	WF_34_qc_merged	WF_31_qc_merged	WF_22_qc_merged	WF_15_qc_merged	WF_17_qc_merged	WF_40_qc_merged	WF_33_qc_merged	WF_23_qc_merged	WF_10_qc_merged	WF_1_qc_merged	WF_25_qc_merged	WF_203_qc_merged	WF_3_qc_merged	WF_32_qc_merged	WF_13_qc_merged	WF_39_qc_merged	WF_2_qc_merged	WF_30_qc_merged	WF_36_qc_merged	WF_29_qc_merged	WF_20_qc_merged	WF_27_qc_merged	WF_37_qc_merged	WF_28_qc_merged	WF_35_qc_merged	WF_19_qc_merged	WF_18_qc_merged	WF_201_qc_merged	WF_38_qc_merged	WF_202_qc_merged	WF_11_qc_merged	WF_26_qc_merged	WF_204_qc_merged	WF_14_qc_merged	WF_24_qc_merged	WF_21_qc_merged	WF_16_qc_merged	WF_12_qc_merged
PWY-5710	105.593	125.876	209.966	309.738	291.06	169.151	149.265	151.205	201.303	0	196.719	242.728	215.051	281.768	194.318	321.413	218.049	264.786	65.5332	170.795	179.118	149.819	210.649	265.703	213.925	273.196	317.262	152.774	111.66	304.551	266.906	195.453	379.704	243.168	199.962	0	249.983	285.792
PWY-5723	1545.93	1330.09	1332.11	1522.63	1430.13	1425.73	1253.11	1298.43	1424.78	0	1383.44	1510.69	1458.93	1393.09	1300.19	1399.25	1458.31	1365.63	1551.33	1328.16	1370.87	1381.73	1270.81	1248.15	1433.7	1510.49	1566.22	1333.83	1416.44	1312.44	1332.87	1423.17	1606.88	1538.31	1441.32	0	1461.3	1541.46
PWY-5724	0	4.28434	2.73534	0.175917	2.37345	0	0	0.590075	2.53339	0	9.98305	0.283393	1.70139	2.15883	0.274314	3.45645	4.23792	0.819773	2.53105	0.388249	4.83716	12.1282	4.31669	0.832695	2.0491	2.24671	2.02054	7.558	1.05867	0	4.60771	12.7438	0	2.94208	1.4928	0	1.03019	5.39225
PWY-5725	0	0	0	0.22065	0	0	0	0	0	0	0.114347	0	0	0.0773997	0	0	0.02582	0	0.228502	0	0.0790778	0	0	0	0	0	0.0443728	0	0	0	0.225911	0	0	0.0468149	0.0638768	0	0	0
PWY-5729	5765.99	5146.75	6167.39	6246.36	6140.1	5772.38	6030.13	5657.58	5346.2	22769.3	5469.84	5729.37	5938.4	6465.73	5848.4	5592.31	5633.24	6461.07	5873.96	5775.7	6179.62	6076.5	5619.59	5790.04	6005.53	5738.47	6045.51	5023.64	5938.46	6020.26	6276.32	5874.22	5392.27	5652.03	5766.76	0	6396.55	5466.16
PWY-5731	0	4.21079	0.381374	0	1.99763	0.230192	0	0	3.0141	0	15.8071	0	1.83924	1.0668	0	1.90611	1.902	0.94942	0.0745913	0.251901	0.419202	7.41563	0	1.01656	0.175548	5.48717	3.7449	0	2.52126	0	0.204214	3.68267	0	2.31955	1.77086	0	0.326017	5.35803
PWY-5738	50.1352	308.836	90.1342	138.632	78.6661	117.968	162.348	483.591	162.478	0	556.248	25.3076	103.231	286.028	166.267	102.316	203.732	172.582	127.042	220.292	172.835	190.053	334.702	460.505	117.921	241.698	213.94	9.58598	91.9419	41.9796	113.022	241.387	59.6123	195.986	117.219	0	98.8495	165.257
PWY-5739	50.1352	308.836	90.1342	138.632	78.6661	117.968	162.348	483.591	162.478	0	556.248	25.3076	103.231	286.028	166.267	102.316	203.732	172.582	127.042	220.292	172.835	190.053	334.702	460.505	117.921	241.698	213.94	9.58598	91.9419	41.9796	113.022	241.387	59.6123	195.986	117.219	0	98.8495	165.257
PWY-5741	63.3954	114.761	148.45	158.85	189.105	114.94	106.552	111.994	147.221	0	105.013	189.102	136.099	196.626	134.811	229.448	173.55	188.923	54.8047	134.693	162.634	151.902	204.196	177.377	188.044	195.041	205.916	104.56	64.247	132.163	119.632	156.958	253.431	201.954	144.683	0	152.777	211.183
PWY-5742	1.03065	4.73487	5.83102	11.3603	3.76191	3.79054	5.96648	2.36219	4.95996	0	1.97177	1.689	4.36024	1.19194	11.4339	2.93853	5.81999	0.785742	0.564972	1.98466	4.00603	3.32642	8.19818	0.985464	0	10.5282	1.86708	6.05138	3.33118	3.21625	10.1299	2.8056	0.0921003	5.83654	6.43668	0	1.36445	5.62267
PWY-5743	161.268	343.753	403.33	379.44	495.081	309.654	314.232	346.864	531.214	0	470.099	547.787	483.056	386.186	0	412.452	513.012	444.284	181.948	399.265	369.897	350.433	474.785	335.551	0	524.619	496.83	0	247.999	0	363.747	358.826	455.772	494.182	460.072	0	0	536.842
PWY-5744	0	0	0	0	0	0	279.11	0	0	0	383.82	0	0	0	0	0	476.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478.542	0	0	0	0
PWY-5747	0	21.6313	4.67839	4.87527	11.4163	0	19.7484	4.46695	13.5191	0	0	0.336515	7.50977	4.33491	11.6973	4.84645	12.1456	5.42511	0	12.4049	0	0	8.75204	0	7.20121	8.94584	6.93447	0	12.116	9.45981	0	20.1053	0	0	6.17034	0	6.45032	17.1934
PWY-5748	1524.45	1409.81	1699.46	1808.73	1757.61	1586.2	1641.45	1629.21	1502.59	5692.32	1610.6	1624.68	1646.18	1855.89	1620.44	1644.33	1603.81	1832.25	1524.26	1587.65	1699.93	1652.31	1611.74	1707.76	1665.51	1674	1769.34	1381.14	1571.08	1739.39	1783.62	1633.19	1649.65	1606.18	1591.66	0	1788.15	1596.54
PWY-5749	1.55915	5.74546	0	11.1725	5.61628	3.14214	4.40999	3.365	5.48793	0	27.321	0	0.406057	72.993	4.74884	11.2573	11.1542	49.3783	0.150398	26.7305	29.4524	10.9171	47.3059	52.0783	17.3314	0.226373	2.8401	0	0.406486	0.182978	5.40192	15.8994	1.58796	7.39894	3.63704	0	0	3.51979
PWY-5750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229.277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5751	474.864	381.264	483.858	411.838	400.919	411.799	384.271	373.071	411.666	0	369.599	455.341	430.947	378.493	433.832	463.597	355.231	384.605	454.676	360.847	429.117	408.232	440.655	304.182	430.755	392.436	401.534	464.019	462.672	397.44	405.766	392.981	442.442	405.655	570.3	0	395.471	377.674
PWY-5754	0	0	0	0	0	0	0	0	0	0	1.75379	0	0	0	0	0	0	0.524282	0	1.44668	0	4.28524	0.700652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5755	4.68041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.56299	0	5.22719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5756	29.4592	51.2173	252.495	27.8977	244.18	18.3433	25.4975	31.566	309.759	0	34.2953	40.6105	258.715	114.987	35.7825	81.5864	199.236	129.956	22.9072	61.5943	33.8675	32.6994	76.2193	71.2116	221.114	166.676	51.0575	17.2367	38.5177	323.091	27.9328	33.1161	42.4143	326.351	81.9655	0	163.165	350.745
PWY-5759	29.4592	51.2173	252.495	27.8977	244.18	18.3433	25.4975	31.566	309.759	0	34.2953	40.6105	258.715	114.987	35.7825	81.5864	199.236	129.956	22.9072	61.5943	33.8675	32.6994	76.2193	71.2116	221.114	166.676	51.0575	17.2367	38.5177	323.091	27.9328	33.1161	42.4143	326.351	81.9655	0	163.165	350.745
PWY-5760	6.28604	15.6905	21.819	17.0775	8.46223	4.86537	8.73044	5.07572	16.6095	0	12.333	10.5094	8.79837	17.1351	11.5022	9.71335	8.24998	18.1617	5.93292	19.1812	22.8223	32.895	10.7787	13.1354	11.9151	6.39433	13.7918	10.3966	10.8356	3.88255	17.1478	13.576	12.574	13.5599	17.3329	0	29.8753	12.1865
PWY-5765	5765.99	5146.75	6167.39	6246.36	6140.1	5772.38	6030.13	5657.58	5346.2	22769.3	5469.84	5729.37	5938.4	6465.73	5848.4	5592.31	5633.24	6461.07	5873.96	5775.7	6179.62	6076.5	5619.59	5790.04	6005.53	5738.47	6045.51	5023.64	5938.46	6020.26	6276.32	5874.22	5392.27	5652.03	5766.76	0	6396.55	5466.16
PWY-5766	867.213	1491.4	1596.97	1332.73	1484.65	1009	1293.59	1592.31	1570.26	0	1803.76	1406.52	1518.66	1571.77	1516.72	1565.48	1626.38	1360.12	1038.14	1289.37	1378.91	1105.61	2028.35	1527.07	1613.57	1855.8	1643.07	1565.58	924.817	1188.14	1599.99	1251.11	1634.5	1216.1	1366	0	1445.87	1330.07
PWY-5767	791.1	671.533	527.555	541.872	598.524	630.834	675.672	516.88	722.671	0	513.886	886.753	612.829	452.257	748.784	621.17	660.514	580.268	744.204	626.866	697.908	829.935	406.606	441.509	559.007	604.951	555.436	713.855	753.488	653.15	666.682	760.164	520.893	708.428	562.742	0	665.234	693.534
PWY-5768	0	0.289343	0	0.328107	0.270259	0.247441	0.146816	0.0974351	1.13083	0	0	0.299732	0.112462	0.427414	0	0	0.452771	0.346095	0.0826713	0.231114	1.1211	0.488251	0.219961	0.351766	0.294561	0	0.242271	1.04039	0.43158	0	0.109928	0.560754	0.530656	0	0	0	0.0449789	0
PWY-5770	709.46	524.041	486.517	457.484	394.377	574.966	400.473	436.177	375.594	0	314.429	464.949	396.695	404.74	416.861	364.864	353.463	435.029	635.619	484.909	389.574	459.807	376.36	472.679	354.486	388.484	380.411	625.687	599.45	440.585	534.765	436.343	379.728	456.96	435.056	0	408.22	394.348
PWY-5773	1441.5	1286.69	1541.85	1562.71	1536.47	1443.68	1507.53	1414.61	1336.8	5692.32	1367.46	1435.66	1484.89	1616.43	1462.1	1398.08	1408.46	1615.27	1469.04	1443.93	1544.9	1519.12	1404.9	1447.51	1501.38	1434.62	1511.38	1255.91	1484.61	1505.06	1569.08	1468.56	1348.88	1413.01	1441.69	0	1599.14	1366.69
PWY-5774	29.4592	51.2173	252.495	27.8977	244.18	18.3433	25.4975	31.566	309.759	0	34.2953	40.6105	258.715	114.987	35.7825	81.5864	199.236	129.956	22.9072	61.5943	33.8675	32.6994	76.2193	71.2116	221.114	166.676	51.0575	17.2367	38.5177	323.091	27.9328	33.1161	42.4143	326.351	81.9655	0	163.165	350.745
