L1	L2	L3	L4	L5	L6	L7	variable	value
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium moukalabense	WF_34	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudocatenulatum	WF_34	0.0386329866270431
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudolongum	WF_34	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium ruminantium	WF_34	0.00297176820208024
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium adolescentis	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium animalis subsp. lactis	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium biavatii	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium bifidum	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium breve	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium kashiwanohense	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium dentium	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium longum subsp. longum	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium moukalabense	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudocatenulatum	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudolongum	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium ruminantium	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium adolescentis	WF_68	0.0307692307692308
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium animalis subsp. lactis	WF_68	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium biavatii	WF_68	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium bifidum	WF_68	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium breve	WF_68	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium kashiwanohense	WF_68	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium dentium	WF_68	0.0153846153846154
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium longum subsp. longum	WF_68	0.953846153846154
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium moukalabense	WF_68	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudocatenulatum	WF_68	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudolongum	WF_68	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium ruminantium	WF_68	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium adolescentis	WF_46	0.428571428571429
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium animalis subsp. lactis	WF_46	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium biavatii	WF_46	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium bifidum	WF_46	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium breve	WF_46	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium kashiwanohense	WF_46	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium dentium	WF_46	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium longum subsp. longum	WF_46	0.571428571428571
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium moukalabense	WF_46	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudocatenulatum	WF_46	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudolongum	WF_46	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium ruminantium	WF_46	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium adolescentis	WF_204	0.596491228070175
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium animalis subsp. lactis	WF_204	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium biavatii	WF_204	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium bifidum	WF_204	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium breve	WF_204	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium kashiwanohense	WF_204	0.0350877192982456
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium dentium	WF_204	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium longum subsp. longum	WF_204	0.140350877192982
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium moukalabense	WF_204	0.00584795321637427
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudocatenulatum	WF_204	0.210526315789474
