kingdom	phylum	class	order	family	genus	species	sample_id	WF_50	WF_51	WF_52	WF_53	WF_54	WF_55	WF_56	WF_57	WF_58	WF_59	WF_25	WF_24	WF_27	WF_26	WF_21	WF_20	WF_23	WF_22	WF_29	WF_28	WF_36	WF_37	WF_34	WF_35	WF_32	WF_33	WF_30	WF_31	WF_38	WF_39	WF_89	WF_88	WF_83	WF_82	WF_81	WF_80	WF_87	WF_86	WF_85	WF_84	WF_94	WF_95	WF_96	WF_97	WF_90	WF_91	WF_92	WF_93	WF_204	WF_202	WF_203	WF_201	WF_18	WF_19	WF_14	WF_15	WF_16	WF_17	WF_10	WF_11	WF_12	WF_13	WF_69	WF_68	WF_61	WF_60	WF_63	WF_62	WF_65	WF_64	WF_67	WF_66	WF_6	WF_7	WF_4	WF_5	WF_2	WF_3	WF_1	WF_8	WF_9	WF_78	WF_79	WF_72	WF_73	WF_70	WF_71	WF_76	WF_77	WF_74	WF_75	WF_47	WF_46	WF_45	WF_44	WF_43	WF_42	WF_41	WF_40	WF_49	WF_48
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04251	OTU-10782	0	0	0	0	0	0	0	0	0	0	0	0	1606	1532	0	1998	0	0	916	0	0	0	0	39	0	1022	0	1890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04257	OTU-13254	0	1305	0	2729	0	384	0	1289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	118	0	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	45	0	0	0	0	61	0	0	0	0	0	3186	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04258	OTU-01777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2855	0	0	0	400	0	51	0	0	0	0	0	4314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	75	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2122	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04263	OTU-13383	0	0	0	0	0	0	0	0	0	0	0	0	670	716	0	694	0	0	3206	0	0	0	0	0	0	1194	0	2778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04266	OTU-12234	0	0	0	0	0	0	0	0	0	0	0	0	696	2730	0	3094	0	0	337	0	0	0	0	0	0	75	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04268	OTU-12538	0	62	375	158	183	35	481	29	245	0	107	52	0	0	0	0	0	0	0	0	99	437	2443	38	70	0	0	0	0	30	0	0	0	0	0	214	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	94	312	0	0	179	213	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	187	0	0	0	0	71	504	102	137	311	290	109	273	113	222	0	0	0	144	0	194	0	0	616	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04272	OTU-12238	0	0	119	0	151	0	101	0	0	0	0	145	0	0	0	0	0	93	0	745	0	104	0	88	727	0	1481	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	481	0	0	220	1302	0	616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	1957	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	154	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04274	OTU-14192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2207	0	0	0	1915	0	1419	0	0	0	0	0	2325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1627	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04277	OTU-12560	0	43	302	895	49	61	32	145	0	0	0	109	0	0	0	0	0	31	0	0	0	0	0	116	0	40	0	0	0	26	0	29	314	0	0	325	0	70	163	86	0	0	0	0	0	0	0	0	0	0	0	0	0	1935	0	0	0	255	0	0	0	0	0	0	0	0	448	0	846	827	0	0	0	0	0	355	0	116	0	0	33	27	233	38	153	128	383	32	64	107	36	0	0	0	187	246	87	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04278	OTU-12980	0	3450	0	1800	0	2414	0	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	783	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04282	OTU-13384	0	0	3089	0	238	0	1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1634	0	3191	0	0	0	0
